BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,901     ,  1,10         ,10         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.7,2,  26.0824,2,  34.9947,2,     -999,9,    199.7,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6315,1,     -999,9,20220615,0115,  24.3195,-159.2780,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,9          ,9          ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.8,2,  26.0824,2,  34.9947,2,     -999,9,    200.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  26.0811,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0131,1,   4.6328,1,     -999,9,20220615,0115,  24.3195,-159.2780,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,23         ,23         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.8,2,  26.0748,2,  34.9948,2,     -999,9,    199.4,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0128,1,   4.6303,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,18         ,18         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.8,2,  26.0806,2,  34.9948,2,     -999,9,    199.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,1,     -999,9,   0.0134,1,   4.6326,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,28         ,28         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.8,2,  26.0720,2,  34.9948,2,     -999,9,    200.3,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0125,1,   4.6329,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,21         ,21         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.8,2,  26.0757,2,  34.9948,2,     -999,9,    200.0,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6325,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,24         ,24         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.9,2,  26.0747,2,  34.9948,2,     -999,9,    200.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0127,1,   4.6318,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,33         ,33         ,2,20220615,0046,  24.3195,-159.2779,     4555,      3.9,2,  26.0725,2,  34.9944,2,     -999,9,    199.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6327,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,11         ,11         ,2,20220615,0046,  24.3195,-159.2779,     4555,      4.0,2,  26.0812,2,  34.9948,2,     -999,9,    199.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6323,1,     -999,9,20220615,0115,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,20         ,20         ,2,20220615,0046,  24.3195,-159.2779,     4555,      4.1,2,  26.0721,2,  34.9950,2,     -999,9,    198.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  26.0749,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6317,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,29         ,29         ,2,20220615,0046,  24.3195,-159.2779,     4555,      4.1,2,  26.0713,2,  34.9947,2,     -999,9,    199.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0128,1,   4.6302,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,16         ,16         ,2,20220615,0046,  24.3195,-159.2779,     4555,      4.2,2,  26.0806,2,  34.9948,2,     -999,9,    199.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,1,     -999,9,     -999,9,   0.0135,1,   4.6332,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,31         ,31         ,2,20220615,0046,  24.3195,-159.2779,     4555,      4.3,2,  26.0781,2,  34.9947,2,     -999,9,    199.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6321,1,     -999,9,20220615,0116,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,35         ,35         ,2,20220615,0046,  24.3195,-159.2779,     4555,      4.3,2,  26.0791,2,  34.9942,2,     -999,9,    199.4,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6331,1,     -999,9,20220615,0117,  24.3195,-159.2779,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,13         ,13         ,2,20220615,0046,  24.3195,-159.2779,     4555,      4.5,2,  26.0800,2,  34.9948,2,     -999,9,    201.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,     -999,1,     -999,1,     -999,9,     -999,9,     -999,9,   0.0135,1,   4.6330,1,     -999,9,20220615,0116,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,8          ,8          ,2,20220615,0046,  24.3195,-159.2779,     4555,     44.0,2,  25.0540,2,  34.9950,2,     -999,9,    204.9,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  25.0379,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6348,1,     -999,9,20220615,0112,  24.3195,-159.2780,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,7          ,7          ,2,20220615,0046,  24.3195,-159.2779,     4555,     77.1,2,  24.1921,2,  35.0937,2,     -999,9,    204.6,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  24.1826,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0171,1,   4.6373,1,     -999,9,20220615,0109,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,5          ,5          ,2,20220615,0046,  24.3195,-159.2779,     4555,    103.6,2,  23.4461,2,  35.2165,2,     -999,9,    205.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  23.4497,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0177,1,   4.6532,1,     -999,9,20220615,0107,  24.3195,-159.2780,-999          ,1,-999          ,9,-999          ,1,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,6          ,6          ,2,20220615,0046,  24.3195,-159.2779,     4555,    104.2,2,  23.4181,2,  35.2158,2,     -999,9,    205.1,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  23.4380,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0183,1,   4.6530,1,     -999,9,20220615,0107,  24.3195,-159.2780,-999          ,9,-999          ,1,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,901     ,  1,4          ,4          ,2,20220615,0046,  24.3195,-159.2779,     4555,    153.5,2,  21.2184,2,  35.1414,2,     -999,9,    191.8,1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,  21.2166,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0208,1,   4.6738,1,     -999,9,20220615,0105,  24.3195,-159.2780,-999          ,9,-999          ,9,-999          ,1,-999          ,9,-999          ,9
